,Fighter,Head,Body,Leg,Distance,Clinch,Ground,Event
123,Dustin Jacoby Kennedy Nzechukwu,5 of 28  3 of 14,0 of 0  0 of 3,5 of 5  1 of 1,10 of 26  4 of 18,0 of 0  0 of 0,0 of 7  0 of 0,UFC Fight Night: Sandhagen vs. Font
124,Diego Lopes Gavin Tucker,0 of 3  0 of 6,0 of 0  0 of 0,0 of 1  0 of 0,0 of 4  0 of 6,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Sandhagen vs. Font
125,Tanner Boser Aleksa Camur,78 of 163  34 of 97,24 of 32  25 of 28,18 of 20  9 of 11,87 of 174  46 of 108,33 of 41  22 of 28,0 of 0  0 of 0,UFC Fight Night: Sandhagen vs. Font
126,Ignacio Bahamondes Ludovit Klein,29 of 114  36 of 82,9 of 16  11 of 16,5 of 9  9 of 10,41 of 133  43 of 88,2 of 6  1 of 1,0 of 0  12 of 19,UFC Fight Night: Sandhagen vs. Font
127,Kyler Phillips Raoni Barcelos,40 of 146  20 of 87,18 of 26  15 of 17,14 of 15  11 of 12,62 of 174  39 of 105,6 of 8  7 of 10,4 of 5  0 of 1,UFC Fight Night: Sandhagen vs. Font
128,Jeremiah Wells Carlston Harris,16 of 46  1 of 14,2 of 2  3 of 4,0 of 0  1 of 1,5 of 25  5 of 19,2 of 3  0 of 0,11 of 20  0 of 0,UFC Fight Night: Sandhagen vs. Font
129,Billy Quarantillo Damon Jackson,45 of 124  45 of 139,49 of 57  19 of 31,6 of 7  3 of 3,58 of 140  53 of 148,42 of 48  10 of 15,0 of 0  4 of 10,UFC Fight Night: Sandhagen vs. Font
130,Cody Durden Jake Hadley,23 of 66  12 of 61,9 of 11  10 of 16,6 of 8  4 of 6,30 of 67  23 of 76,1 of 1  3 of 7,7 of 17  0 of 0,UFC Fight Night: Sandhagen vs. Font
131,Sean Woodson Dennis Buzukja,36 of 77  24 of 85,18 of 32  11 of 17,17 of 17  7 of 14,61 of 113  32 of 96,8 of 11  5 of 8,2 of 2  5 of 12,UFC Fight Night: Sandhagen vs. Font
132,Ode Osbourne Assu Almabayev,4 of 16  17 of 31,0 of 2  5 of 5,0 of 0  4 of 4,3 of 17  9 of 14,0 of 0  0 of 0,1 of 1  17 of 26,UFC Fight Night: Sandhagen vs. Font
133,Dustin Poirier Justin Gaethje,21 of 46  23 of 48,4 of 4  7 of 7,2 of 2  11 of 11,25 of 49  38 of 63,2 of 3  2 of 2,0 of 0  1 of 1,UFC 291: Poirier vs. Gaethje 2
134,Jan Blachowicz Alex Pereira,41 of 66  26 of 46,4 of 8  23 of 24,7 of 7  21 of 22,41 of 67  62 of 83,3 of 5  7 of 8,8 of 9  1 of 1,UFC 291: Poirier vs. Gaethje 2
135,Derrick Lewis Marcos Rogerio de Lima,16 of 32  1 of 1,1 of 1  0 of 0,0 of 0  0 of 0,1 of 1  0 of 0,0 of 0  0 of 0,16 of 32  1 of 1,UFC 291: Poirier vs. Gaethje 2
136,Tony Ferguson Bobby Green,38 of 98  95 of 166,11 of 18  24 of 31,5 of 7  18 of 20,50 of 118  115 of 183,2 of 2  1 of 1,2 of 3  21 of 33,UFC 291: Poirier vs. Gaethje 2
137,Michael Chiesa Kevin Holland,4 of 11  7 of 14,0 of 0  2 of 2,0 of 0  0 of 0,3 of 7  4 of 9,1 of 4  4 of 5,0 of 0  1 of 2,UFC 291: Poirier vs. Gaethje 2
138,Gabriel Bonfim Trevin Giles,2 of 10  1 of 5,1 of 1  0 of 0,0 of 0  0 of 0,3 of 11  1 of 5,0 of 0  0 of 0,0 of 0  0 of 0,UFC 291: Poirier vs. Gaethje 2
139,CJ Vergara Vinicius Salvador,43 of 102  54 of 154,45 of 57  19 of 25,21 of 22  15 of 16,104 of 176  87 of 194,5 of 5  1 of 1,0 of 0  0 of 0,UFC 291: Poirier vs. Gaethje 2
140,Roman Kopylov Claudio Ribeiro,20 of 29  18 of 45,9 of 10  7 of 7,3 of 3  7 of 7,29 of 38  29 of 56,2 of 3  3 of 3,1 of 1  0 of 0,UFC 291: Poirier vs. Gaethje 2
141,Jake Matthews Darrius Flowers,40 of 78  21 of 48,14 of 17  6 of 6,6 of 6  9 of 10,47 of 84  31 of 57,2 of 5  5 of 7,11 of 12  0 of 0,UFC 291: Poirier vs. Gaethje 2
142,Matthew Semelsberger Uros Medic,31 of 91  49 of 98,8 of 14  17 of 27,13 of 15  3 of 3,42 of 106  50 of 104,3 of 5  13 of 18,7 of 9  6 of 6,UFC 291: Poirier vs. Gaethje 2
143,Miranda Maverick Priscila Cachoeira,23 of 37  7 of 18,8 of 8  2 of 3,5 of 6  2 of 2,16 of 29  10 of 22,2 of 2  0 of 0,18 of 20  1 of 1,UFC 291: Poirier vs. Gaethje 2
144,Tom Aspinall Marcin Tybura,12 of 17  2 of 13,1 of 1  2 of 2,0 of 0  0 of 0,7 of 10  4 of 15,0 of 0  0 of 0,6 of 8  0 of 0,UFC Fight Night: Aspinall vs. Tybura
145,Molly McCann Julija Stoliarenko,1 of 11  4 of 20,4 of 4  2 of 3,1 of 1  3 of 6,6 of 16  9 of 29,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Aspinall vs. Tybura
146,Nathaniel Wood Andre Fili,38 of 90  45 of 134,10 of 18  7 of 10,36 of 40  6 of 7,71 of 123  53 of 144,0 of 0  3 of 5,13 of 25  2 of 2,UFC Fight Night: Aspinall vs. Tybura
147,Paul Craig Andre Muniz,31 of 66  15 of 30,8 of 15  2 of 3,1 of 1  7 of 7,10 of 32  15 of 27,0 of 0  1 of 1,30 of 50  8 of 12,UFC Fight Night: Aspinall vs. Tybura
148,Jai Herbert Fares Ziam,7 of 79  29 of 74,23 of 31  19 of 23,19 of 24  13 of 16,38 of 119  45 of 93,11 of 15  16 of 20,0 of 0  0 of 0,UFC Fight Night: Aspinall vs. Tybura
149,Lerone Murphy Josh Culibao,37 of 81  16 of 48,15 of 18  5 of 6,7 of 10  2 of 5,24 of 61  19 of 53,12 of 14  4 of 6,23 of 34  0 of 0,UFC Fight Night: Aspinall vs. Tybura
150,Davey Grant Daniel Marcos,17 of 127  21 of 90,27 of 55  6 of 24,26 of 33  21 of 26,70 of 213  47 of 139,0 of 2  1 of 1,0 of 0  0 of 0,UFC Fight Night: Aspinall vs. Tybura
151,Danny Roberts Jonny Parsons,27 of 111  42 of 95,14 of 19  12 of 19,3 of 3  9 of 10,44 of 132  51 of 101,0 of 1  7 of 15,0 of 0  5 of 8,UFC Fight Night: Aspinall vs. Tybura
152,Marc Diakiese Joel Alvarez,8 of 25  20 of 49,6 of 11  12 of 16,6 of 10  10 of 10,20 of 46  37 of 70,0 of 0  2 of 2,0 of 0  3 of 3,UFC Fight Night: Aspinall vs. Tybura
153,Mick Parkin Jamal Pogues,37 of 94  22 of 119,16 of 20  4 of 6,42 of 42  10 of 10,92 of 151  34 of 132,3 of 5  2 of 3,0 of 0  0 of 0,UFC Fight Night: Aspinall vs. Tybura
154,Makhmud Muradov Bryan Barberena,39 of 77  13 of 56,15 of 20  2 of 4,0 of 0  13 of 21,46 of 79  27 of 79,5 of 11  1 of 2,3 of 7  0 of 0,UFC Fight Night: Aspinall vs. Tybura
155,Ketlen Vieira Pannie Kianzad,13 of 31  17 of 45,1 of 1  3 of 4,1 of 1  2 of 2,8 of 25  10 of 30,1 of 2  0 of 0,6 of 6  12 of 21,UFC Fight Night: Aspinall vs. Tybura
156,Chris Duncan Yanal Ashmouz,54 of 161  15 of 68,23 of 30  8 of 14,8 of 15  12 of 16,82 of 200  34 of 96,3 of 6  1 of 2,0 of 0  0 of 0,UFC Fight Night: Aspinall vs. Tybura
157,Shauna Bannon Bruna Brasil,22 of 84  30 of 58,19 of 38  14 of 19,13 of 22  12 of 13,51 of 139  39 of 72,3 of 5  12 of 13,0 of 0  5 of 5,UFC Fight Night: Aspinall vs. Tybura
158,Jafel Filho Daniel Barez,11 of 40  8 of 17,8 of 9  7 of 9,2 of 5  3 of 4,21 of 54  18 of 27,0 of 0  0 of 1,0 of 0  0 of 2,UFC Fight Night: Aspinall vs. Tybura
159,Holly Holm Mayra Bueno Silva,15 of 24  9 of 21,10 of 12  7 of 10,2 of 3  4 of 6,21 of 31  13 of 28,6 of 8  7 of 9,0 of 0  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
160,Holly Holm Mayra Bueno Silva,15 of 24  9 of 21,10 of 12  7 of 10,2 of 3  4 of 6,21 of 31  13 of 28,6 of 8  7 of 9,0 of 0  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
161,Jack Della Maddalena Bassil Hafez,55 of 104  29 of 117,27 of 32  2 of 6,1 of 1  1 of 1,68 of 119  28 of 118,14 of 17  4 of 6,1 of 1  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
162,Ottman Azaitar Francisco Prado,6 of 20  31 of 46,7 of 11  2 of 6,1 of 2  5 of 5,12 of 28  17 of 30,2 of 5  1 of 1,0 of 0  20 of 26,UFC Fight Night: Holm vs. Bueno Silva
163,Albert Duraev JunYong Park,18 of 57  41 of 85,7 of 8  4 of 5,6 of 12  5 of 6,31 of 76  47 of 93,0 of 1  2 of 2,0 of 0  1 of 1,UFC Fight Night: Holm vs. Bueno Silva
164,Norma Dumont Chelsea Chandler,30 of 59  14 of 51,12 of 12  6 of 7,5 of 5  2 of 3,28 of 49  13 of 44,10 of 12  9 of 17,9 of 15  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
165,Nazim Sadykhov Terrance McKinney,6 of 11  3 of 10,0 of 1  3 of 3,2 of 3  0 of 1,6 of 13  4 of 12,0 of 0  2 of 2,2 of 2  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
166,Tucker Lutz Melsik Baghdasaryan,14 of 71  32 of 66,16 of 28  30 of 40,6 of 10  2 of 2,34 of 105  50 of 88,2 of 4  11 of 16,0 of 0  3 of 4,UFC Fight Night: Holm vs. Bueno Silva
167,Viktoriia Dudakova Istela Nunes,1 of 7  1 of 4,2 of 4  1 of 2,0 of 0  0 of 0,2 of 10  2 of 6,0 of 0  0 of 0,1 of 1  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
168,Austin Lingo Melquizael Costa,24 of 114  39 of 133,11 of 17  48 of 73,4 of 8  13 of 14,39 of 139  93 of 209,0 of 0  6 of 9,0 of 0  1 of 2,UFC Fight Night: Holm vs. Bueno Silva
169,Evan Elder Genaro Valdez,61 of 155  51 of 210,15 of 19  4 of 6,20 of 21  9 of 20,96 of 193  62 of 231,0 of 1  2 of 5,0 of 1  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
170,Tyson Nam Azat Maksum,27 of 149  33 of 167,19 of 28  12 of 21,35 of 36  1 of 1,79 of 209  46 of 183,2 of 4  0 of 6,0 of 0  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
171,Alexander Munoz Carl Deaton,37 of 99  29 of 97,6 of 11  8 of 11,1 of 1  0 of 0,27 of 87  36 of 106,2 of 3  1 of 2,15 of 21  0 of 0,UFC Fight Night: Holm vs. Bueno Silva
172,Ashlee Evans-Smith Ailin Perez,6 of 40  50 of 87,2 of 3  7 of 11,4 of 4  3 of 6,7 of 40  12 of 32,5 of 7  14 of 23,0 of 0  34 of 49,UFC Fight Night: Holm vs. Bueno Silva
173,Alexander Volkanovski Yair Rodriguez,48 of 69  13 of 49,4 of 5  11 of 14,14 of 23  16 of 17,25 of 45  38 of 77,4 of 6  0 of 0,37 of 46  2 of 3,UFC 290: Volkanovski vs. Rodriguez
174,Brandon Moreno Alexandre Pantoja,133 of 231  106 of 247,13 of 13  20 of 22,1 of 1  3 of 5,128 of 220  104 of 239,12 of 14  13 of 21,7 of 11  12 of 14,UFC 290: Volkanovski vs. Rodriguez
175,Robert Whittaker Dricus Du Plessis,23 of 59  38 of 77,2 of 4  11 of 13,6 of 7  13 of 14,29 of 68  41 of 77,2 of 2  8 of 10,0 of 0  13 of 17,UFC 290: Volkanovski vs. Rodriguez
176,Jalin Turner Dan Hooker,63 of 128  77 of 139,30 of 37  25 of 32,7 of 12  23 of 26,78 of 152  100 of 157,18 of 21  19 of 31,4 of 4  6 of 9,UFC 290: Volkanovski vs. Rodriguez
177,Bo Nickal Val Woodburn,7 of 10  2 of 9,0 of 0  0 of 0,0 of 0  0 of 0,6 of 9  2 of 9,0 of 0  0 of 0,1 of 1  0 of 0,UFC 290: Volkanovski vs. Rodriguez
178,Robbie Lawler Niko Price,8 of 10  0 of 3,0 of 0  1 of 2,0 of 0  1 of 2,4 of 6  1 of 6,4 of 4  1 of 1,0 of 0  0 of 0,UFC 290: Volkanovski vs. Rodriguez
179,Tatsuro Taira Edgar Chairez,40 of 54  15 of 23,2 of 4  5 of 6,19 of 20  5 of 9,26 of 36  25 of 38,0 of 0  0 of 0,35 of 42  0 of 0,UFC 290: Volkanovski vs. Rodriguez
180,Yazmin Jauregui Denise Gomes,0 of 1  17 of 20,0 of 0  0 of 0,0 of 0  0 of 0,0 of 1  4 of 6,0 of 0  0 of 0,0 of 0  13 of 14,UFC 290: Volkanovski vs. Rodriguez
181,Jimmy Crute Alonzo Menifield,5 of 30  18 of 33,19 of 20  2 of 2,2 of 3  1 of 1,6 of 31  17 of 32,20 of 22  4 of 4,0 of 0  0 of 0,UFC 290: Volkanovski vs. Rodriguez
182,Vitor Petrino Marcin Prachnio,32 of 68  25 of 54,9 of 10  21 of 25,3 of 3  9 of 9,24 of 58  41 of 73,1 of 1  14 of 15,19 of 22  0 of 0,UFC 290: Volkanovski vs. Rodriguez
183,Cameron Saaiman Terrence Mitchell,15 of 29  3 of 7,3 of 3  0 of 0,0 of 0  0 of 0,0 of 2  0 of 3,4 of 6  2 of 3,14 of 24  1 of 1,UFC 290: Volkanovski vs. Rodriguez
184,Shannon Ross Jesus Aguilar,1 of 2  1 of 1,1 of 1  0 of 0,0 of 0  1 of 2,2 of 3  2 of 3,0 of 0  0 of 0,0 of 0  0 of 0,UFC 290: Volkanovski vs. Rodriguez
185,Kamuela Kirk Esteban Ribovics,36 of 84  94 of 177,12 of 15  17 of 20,8 of 8  4 of 5,51 of 101  92 of 172,5 of 6  10 of 13,0 of 0  13 of 17,UFC 290: Volkanovski vs. Rodriguez
186,Sean Strickland Abus Magomedov,80 of 186  21 of 68,1 of 2  16 of 23,0 of 0  10 of 10,67 of 168  47 of 101,0 of 0  0 of 0,14 of 20  0 of 0,UFC Fight Night: Strickland vs. Magomedov
187,Damir Ismagulov Grant Dawson,6 of 19  28 of 48,6 of 8  1 of 8,1 of 1  1 of 1,13 of 28  9 of 35,0 of 0  1 of 1,0 of 0  20 of 21,UFC Fight Night: Strickland vs. Magomedov
188,Max Griffin Michael Morales,28 of 93  59 of 145,4 of 4  5 of 8,4 of 5  8 of 11,35 of 99  68 of 159,1 of 3  4 of 5,0 of 0  0 of 0,UFC Fight Night: Strickland vs. Magomedov
189,Ariane Lipski Melissa Gatto,28 of 101  39 of 117,27 of 36  34 of 50,11 of 12  12 of 19,53 of 131  70 of 165,12 of 15  15 of 21,1 of 3  0 of 0,UFC Fight Night: Strickland vs. Magomedov
190,Ismael Bonfim Benoit Saint Denis,9 of 19  3 of 18,2 of 2  10 of 15,3 of 3  0 of 0,8 of 18  11 of 29,5 of 5  2 of 4,1 of 1  0 of 0,UFC Fight Night: Strickland vs. Magomedov
191,Brunno Ferreira Nursulton Ruziboev,0 of 0  5 of 8,0 of 1  0 of 0,3 of 4  1 of 1,3 of 5  3 of 5,0 of 0  0 of 0,0 of 0  3 of 4,UFC Fight Night: Strickland vs. Magomedov
192,Kevin Lee Rinat Fakhretdinov,3 of 8  6 of 12,0 of 0  2 of 2,0 of 0  3 of 3,3 of 8  11 of 17,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Strickland vs. Magomedov
193,Joanderson Brito Westin Wilson,21 of 28  0 of 3,1 of 1  3 of 4,0 of 1  1 of 1,5 of 10  3 of 7,3 of 3  1 of 1,14 of 17  0 of 0,UFC Fight Night: Strickland vs. Magomedov
194,Yana Santos Karol Rosa,20 of 69  38 of 95,42 of 47  18 of 21,33 of 40  10 of 14,63 of 113  48 of 106,32 of 43  12 of 14,0 of 0  6 of 10,UFC Fight Night: Strickland vs. Magomedov
195,Guram Kutateladze Elves Brener,49 of 114  42 of 101,28 of 40  15 of 18,8 of 9  8 of 13,54 of 122  53 of 112,25 of 30  6 of 8,6 of 11  6 of 12,UFC Fight Night: Strickland vs. Magomedov
196,Ivana Petrovic Luana Carolina,15 of 51  18 of 60,5 of 8  11 of 15,2 of 3  12 of 12,16 of 50  27 of 66,4 of 10  7 of 8,2 of 2  7 of 13,UFC Fight Night: Strickland vs. Magomedov
197,Alexandr Romanov Blagoy Ivanov,52 of 121  38 of 102,11 of 11  5 of 5,22 of 22  1 of 1,74 of 137  44 of 108,4 of 4  0 of 0,7 of 13  0 of 0,UFC Fight Night: Strickland vs. Magomedov
198,Josh Emmett Ilia Topuria,43 of 232  124 of 302,26 of 53  9 of 16,18 of 20  19 of 26,87 of 305  114 of 289,0 of 0  2 of 2,0 of 0  36 of 53,UFC Fight Night: Emmett vs. Topuria
199,Amanda Ribas Maycee Barber,21 of 52  70 of 108,7 of 14  5 of 10,7 of 8  6 of 6,30 of 68  32 of 60,5 of 6  6 of 9,0 of 0  43 of 55,UFC Fight Night: Emmett vs. Topuria
200,Austen Lane Justin Tafa,1 of 3  0 of 3,2 of 2  0 of 0,0 of 0  0 of 0,3 of 5  0 of 3,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Emmett vs. Topuria
201,Austen Lane Justin Tafa,1 of 3  0 of 3,2 of 2  0 of 0,0 of 0  0 of 0,3 of 5  0 of 3,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Emmett vs. Topuria
202,David Onama Gabriel Santos,47 of 95  22 of 46,3 of 6  9 of 14,3 of 3  8 of 13,42 of 86  36 of 70,3 of 5  1 of 1,8 of 13  2 of 2,UFC Fight Night: Emmett vs. Topuria
203,Brendan Allen Bruno Silva,24 of 49  17 of 33,5 of 6  3 of 5,1 of 1  0 of 0,15 of 32  16 of 33,5 of 5  4 of 5,10 of 19  0 of 0,UFC Fight Night: Emmett vs. Topuria
204,Neil Magny Phil Rowe,23 of 57  17 of 43,5 of 7  3 of 6,1 of 1  14 of 15,17 of 46  32 of 58,12 of 19  2 of 6,0 of 0  0 of 0,UFC Fight Night: Emmett vs. Topuria
205,Randy Brown Wellington Turman,21 of 85  19 of 60,17 of 23  10 of 14,26 of 26  26 of 31,53 of 121  43 of 90,11 of 13  12 of 15,0 of 0  0 of 0,UFC Fight Night: Emmett vs. Topuria
206,Mateusz Rebecki Loik Radzhabov,24 of 58  16 of 50,12 of 17  3 of 4,18 of 20  0 of 0,54 of 95  19 of 54,0 of 0  0 of 0,0 of 0  0 of 0,UFC Fight Night: Emmett vs. Topuria
207,Tabatha Ricci Gillian Robertson,59 of 257  31 of 150,17 of 25  24 of 40,24 of 33  21 of 29,95 of 306  74 of 212,3 of 7  2 of 7,2 of 2  0 of 0,UFC Fight Night: Emmett vs. Topuria
208,Zhalgas Zhumagulov Joshua Van,45 of 201  78 of 179,28 of 48  29 of 41,30 of 38  13 of 14,101 of 281  106 of 217,2 of 6  14 of 17,0 of 0  0 of 0,UFC Fight Night: Emmett vs. Topuria
209,Trevor Peek Chepe Mariscal,25 of 91  51 of 94,23 of 31  11 of 14,3 of 3  9 of 9,39 of 105  41 of 78,12 of 20  20 of 23,0 of 0  10 of 16,UFC Fight Night: Emmett vs. Topuria
210,Jamall Emmers Jack Jenkins,26 of 98  26 of 67,18 of 38  14 of 21,13 of 19  19 of 31,51 of 146  53 of 110,1 of 3  1 of 2,5 of 6  5 of 7,UFC Fight Night: Emmett vs. Topuria
211,Cody Brundage Sedriques Dumas,2 of 6  13 of 17,0 of 1  2 of 3,1 of 3  2 of 2,3 of 10  3 of 6,0 of 0  1 of 1,0 of 0  13 of 15,UFC Fight Night: Emmett vs. Topuria
212,Marvin Vettori Jared Cannonier,117 of 257  173 of 339,15 of 21  39 of 43,21 of 23  29 of 29,148 of 293  195 of 354,5 of 8  26 of 31,0 of 0  20 of 26,UFC Fight Night: Vettori vs. Cannonier
213,Arman Tsarukyan Joaquim Silva,64 of 95  11 of 27,13 of 17  9 of 11,3 of 3  3 of 3,32 of 64  11 of 25,7 of 8  10 of 13,41 of 43  2 of 3,UFC Fight Night: Vettori vs. Cannonier
214,Armen Petrosyan Christian Leroy Duncan,37 of 90  23 of 72,15 of 22  8 of 16,37 of 44  28 of 34,77 of 139  58 of 121,10 of 14  0 of 0,2 of 3  1 of 1,UFC Fight Night: Vettori vs. Cannonier
215,Pat Sabatini Lucas Almeida,25 of 32  0 of 2,1 of 2  1 of 1,1 of 1  1 of 1,1 of 2  1 of 3,2 of 2  1 of 1,24 of 31  0 of 0,UFC Fight Night: Vettori vs. Cannonier
216,Manuel Torres Nikolas Motta,3 of 7  3 of 10,6 of 6  1 of 1,4 of 4  3 of 3,12 of 16  7 of 14,0 of 0  0 of 0,1 of 1  0 of 0,UFC Fight Night: Vettori vs. Cannonier
217,Nicolas Dalby Muslim Salikhov,41 of 84  34 of 58,36 of 43  21 of 28,9 of 13  2 of 2,43 of 91  47 of 78,36 of 41  10 of 10,7 of 8  0 of 0,UFC Fight Night: Vettori vs. Cannonier
218,Jimmy Flick Alessandro Costa,6 of 27  37 of 58,5 of 7  12 of 15,3 of 3  16 of 18,14 of 37  54 of 76,0 of 0  0 of 0,0 of 0  11 of 15,UFC Fight Night: Vettori vs. Cannonier
219,Kyung Ho Kang Cristian Quinonez,14 of 28  11 of 27,3 of 4  0 of 0,5 of 5  2 of 2,17 of 31  13 of 29,0 of 0  0 of 0,5 of 6  0 of 0,UFC Fight Night: Vettori vs. Cannonier
220,Carlos Hernandez Denys Bondar,87 of 213  37 of 121,12 of 17  29 of 38,3 of 3  10 of 11,78 of 209  68 of 157,17 of 17  7 of 12,7 of 7  1 of 1,UFC Fight Night: Vettori vs. Cannonier
221,Tereza Bleda Gabriella Fernandes,38 of 70  11 of 34,12 of 18  5 of 6,7 of 11  7 of 7,17 of 56  22 of 45,7 of 7  1 of 2,33 of 36  0 of 0,UFC Fight Night: Vettori vs. Cannonier
222,Dan Argueta Ronnie Lawrence,3 of 3  0 of 1,1 of 1  0 of 0,0 of 0  1 of 1,1 of 1  1 of 2,0 of 0  0 of 0,3 of 3  0 of 0,UFC Fight Night: Vettori vs. Cannonier
223,Dan Argueta Ronnie Lawrence,3 of 3  0 of 1,1 of 1  0 of 0,0 of 0  1 of 1,1 of 1  1 of 2,0 of 0  0 of 0,3 of 3  0 of 0,UFC Fight Night: Vettori vs. Cannonier
224,Zac Pauga Modestas Bukauskas,35 of 80  42 of 96,25 of 30  10 of 12,7 of 7  4 of 4,58 of 105  50 of 102,7 of 10  5 of 9,2 of 2  1 of 1,UFC Fight Night: Vettori vs. Cannonier
225,Amanda Nunes Irene Aldana,97 of 198  25 of 118,28 of 49  3 of 7,17 of 20  13 of 18,115 of 234  36 of 133,5 of 8  3 of 3,22 of 25  2 of 7,UFC 289: Nunes vs. Aldana
226,Charles Oliveira Beneil Dariush,23 of 32  8 of 24,3 of 3  3 of 3,0 of 1  1 of 1,7 of 13  6 of 14,3 of 3  0 of 0,16 of 20  6 of 14,UFC 289: Nunes vs. Aldana
227,Mike Malott Adam Fugitt,9 of 29  2 of 17,10 of 10  6 of 9,0 of 2  1 of 2,19 of 41  9 of 28,0 of 0  0 of 0,0 of 0  0 of 0,UFC 289: Nunes vs. Aldana
228,Dan Ige Nate Landwehr,61 of 143  54 of 161,19 of 31  13 of 24,8 of 10  7 of 10,78 of 169  55 of 168,6 of 8  18 of 24,4 of 7  1 of 3,UFC 289: Nunes vs. Aldana
229,Marc-Andre Barriault Eryk Anders,62 of 148  42 of 122,32 of 43  39 of 45,1 of 1  2 of 2,67 of 154  41 of 115,26 of 35  42 of 52,2 of 3  0 of 2,UFC 289: Nunes vs. Aldana
230,Nassourdine Imavov Chris Curtis,27 of 48  4 of 28,8 of 12  8 of 18,22 of 24  14 of 15,54 of 80  26 of 60,3 of 4  0 of 1,0 of 0  0 of 0,UFC 289: Nunes vs. Aldana
231,Nassourdine Imavov Chris Curtis,27 of 48  4 of 28,8 of 12  8 of 18,22 of 24  14 of 15,54 of 80  26 of 60,3 of 4  0 of 1,0 of 0  0 of 0,UFC 289: Nunes vs. Aldana
232,Miranda Maverick Jasmine Jasudavicius,33 of 94  52 of 140,17 of 18  15 of 18,13 of 15  0 of 0,56 of 120  53 of 138,7 of 7  13 of 18,0 of 0  1 of 2,UFC 289: Nunes vs. Aldana
233,Aiemann Zahabi Aoriqileng,5 of 8  0 of 0,0 of 0  1 of 1,0 of 0  4 of 4,3 of 5  5 of 5,0 of 0  0 of 0,2 of 3  0 of 0,UFC 289: Nunes vs. Aldana
234,Kyle Nelson Blake Bilder,24 of 76  26 of 96,20 of 31  2 of 4,15 of 19  17 of 20,57 of 124  45 of 119,2 of 2  0 of 1,0 of 0  0 of 0,UFC 289: Nunes vs. Aldana
235,David Dvorak Steve Erceg,26 of 77  28 of 101,10 of 19  16 of 26,17 of 18  10 of 13,46 of 102  46 of 131,4 of 7  7 of 8,3 of 5  1 of 1,UFC 289: Nunes vs. Aldana
236,Diana Belbita Maria Oliveira,71 of 165  45 of 142,20 of 25  11 of 18,15 of 18  8 of 8,76 of 176  62 of 166,22 of 24  1 of 1,8 of 8  1 of 1,UFC 289: Nunes vs. Aldana
237,Kai Kara-France Amir Albazi,57 of 224  31 of 125,20 of 30  6 of 13,22 of 29  6 of 7,90 of 267  39 of 135,1 of 2  1 of 5,8 of 14  3 of 5,UFC Fight Night: Kara-France vs. Albazi
238,Alex Caceres Daniel Pineda,32 of 69  15 of 42,26 of 28  3 of 4,2 of 2  9 of 10,45 of 76  22 of 50,11 of 15  2 of 3,4 of 8  3 of 3,UFC Fight Night: Kara-France vs. Albazi
239,Jim Miller Jesse Butler,3 of 5  1 of 5,0 of 0  0 of 2,0 of 0  0 of 0,2 of 4  1 of 7,0 of 0  0 of 0,1 of 1  0 of 0,UFC Fight Night: Kara-France vs. Albazi
240,Tim Elliott Victor Altamirano,22 of 48  10 of 28,4 of 6  6 of 8,2 of 3  3 of 3,6 of 21  15 of 31,4 of 4  4 of 8,18 of 32  0 of 0,UFC Fight Night: Kara-France vs. Albazi
241,Karine Silva Ketlen Souza,1 of 6  0 of 0,0 of 2  0 of 0,2 of 2  0 of 0,2 of 7  0 of 0,0 of 0  0 of 0,1 of 3  0 of 0,UFC Fight Night: Kara-France vs. Albazi
242,Abubakar Nurmagomedov Elizeu Zaleski dos Santos,13 of 37  16 of 75,6 of 7  13 of 22,10 of 10  13 of 16,23 of 48  27 of 87,6 of 6  15 of 26,0 of 0  0 of 0,UFC Fight Night: Kara-France vs. Albazi
243,Daniel Santos Johnny Munoz,30 of 62  8 of 26,15 of 19  8 of 10,5 of 10  2 of 3,10 of 38  15 of 30,6 of 7  3 of 9,34 of 46  0 of 0,UFC Fight Night: Kara-France vs. Albazi
244,Andrei Arlovski Don'Tale Mayes,10 of 36  14 of 58,9 of 10  4 of 14,5 of 10  7 of 15,24 of 56  22 of 82,0 of 0  1 of 1,0 of 0  2 of 4,UFC Fight Night: Kara-France vs. Albazi
245,John Castaneda Muin Gafurov,30 of 73  45 of 135,4 of 8  11 of 16,6 of 7  5 of 6,37 of 83  47 of 132,1 of 2  14 of 25,2 of 3  0 of 0,UFC Fight Night: Kara-France vs. Albazi
