,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
170,win,Dricus Du Plessis  Robert Whittaker,1  0,62  31,1  1,0  0,Middleweight,KO/TKO  Punches,2,2:23,UFC 290: Volkanovski vs. Rodriguez
171,win,Dan Hooker  Jalin Turner,1  0,125  100,0  1,1  0,Lightweight,S-DEC,3,5:00,UFC 290: Volkanovski vs. Rodriguez
172,win,Bo Nickal  Val Woodburn,1  0,7  2,0  0,0  0,Middleweight,KO/TKO  Punches,1,0:38,UFC 290: Volkanovski vs. Rodriguez
173,win,Robbie Lawler  Niko Price,1  0,8  2,0  0,0  0,Welterweight,KO/TKO  Punches,1,0:38,UFC 290: Volkanovski vs. Rodriguez
174,win,Tatsuro Taira  Edgar Chairez,0  1,61  25,2  0,1  2,Catch Weight,U-DEC,3,5:00,UFC 290: Volkanovski vs. Rodriguez
175,win,Denise Gomes  Yazmin Jauregui,1  0,17  0,0  0,0  0,Women's Strawweight,KO/TKO  Punches,1,0:20,UFC 290: Volkanovski vs. Rodriguez
176,win,Alonzo Menifield  Jimmy Crute,0  0,21  26,0  1,1  0,Light Heavyweight,SUB  Guillotine Choke,2,1:55,UFC 290: Volkanovski vs. Rodriguez
177,win,Vitor Petrino  Marcin Prachnio,0  0,44  55,4  0,2  0,Light Heavyweight,SUB  Arm Triangle,3,3:42,UFC 290: Volkanovski vs. Rodriguez
178,win,Cameron Saaiman  Terrence Mitchell,0  0,18  3,2  1,1  0,Bantamweight,KO/TKO  Punches,1,3:10,UFC 290: Volkanovski vs. Rodriguez
179,win,Jesus Aguilar  Shannon Ross,1  0,2  2,0  0,0  0,Flyweight,KO/TKO  Punch,1,0:17,UFC 290: Volkanovski vs. Rodriguez
180,win,Esteban Ribovics  Kamuela Kirk,0  0,115  56,2  3,0  1,Lightweight,U-DEC,3,5:00,UFC 290: Volkanovski vs. Rodriguez
181,win,Sean Strickland  Abus Magomedov,1  0,81  47,0  1,0  0,Middleweight,KO/TKO  Punches,2,4:20,UFC Fight Night: Strickland vs. Magomedov
182,win,Grant Dawson  Damir Ismagulov,0  0,30  13,3  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Magomedov
183,win,Michael Morales  Max Griffin,0  0,72  36,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Magomedov
184,win,Ariane Lipski  Melissa Gatto,0  0,66  85,1  0,0  0,Women's Flyweight,S-DEC,3,5:00,UFC Fight Night: Strickland vs. Magomedov
185,win,Benoit Saint Denis  Ismael Bonfim,0  0,13  14,2  0,2  0,Lightweight,SUB  Rear Naked Choke,1,4:48,UFC Fight Night: Strickland vs. Magomedov
186,win,Nursulton Ruziboev  Brunno Ferreira,0  0,6  3,1  0,0  0,Middleweight,KO/TKO  Punches,1,1:17,UFC Fight Night: Strickland vs. Magomedov
187,win,Rinat Fakhretdinov  Kevin Lee,1  0,11  3,0  0,1  0,Welterweight,SUB  Guillotine Choke,1,0:55,UFC Fight Night: Strickland vs. Magomedov
188,win,Joanderson Brito  Westin Wilson,0  0,22  4,1  0,0  2,Featherweight,KO/TKO  Punches,1,2:54,UFC Fight Night: Strickland vs. Magomedov
189,win,Karol Rosa  Yana Santos,0  0,66  95,1  0,0  0,Women's Featherweight,S-DEC,3,5:00,UFC Fight Night: Strickland vs. Magomedov
190,win,Elves Brener  Guram Kutateladze,1  0,65  85,2  1,0  0,Lightweight,KO/TKO  Punch,3,3:17,UFC Fight Night: Strickland vs. Magomedov
191,win,Luana Carolina  Ivana Petrovic,0  0,41  22,1  2,0  2,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Magomedov
192,win,Alexandr Romanov  Blagoy Ivanov,0  0,85  44,2  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Strickland vs. Magomedov
193,win,Ilia Topuria  Josh Emmett,1  0,152  87,3  0,0  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Emmett vs. Topuria
194,win,Maycee Barber  Amanda Ribas,0  0,81  35,0  2,0  0,Women's Flyweight,KO/TKO  Elbows,2,3:42,UFC Fight Night: Emmett vs. Topuria
195,nc nc,Austen Lane  Justin Tafa,0  0,3  0,0  0,0  0,Heavyweight,CNC,1,0:29,UFC Fight Night: Emmett vs. Topuria
196,win,David Onama  Gabriel Santos,1  0,53  39,0  2,0  2,Featherweight,KO/TKO  Punch,2,4:13,UFC Fight Night: Emmett vs. Topuria
197,win,Brendan Allen  Bruno Silva,1  0,30  20,0  0,1  0,Middleweight,SUB  Rear Naked Choke,1,4:39,UFC Fight Night: Emmett vs. Topuria
198,win,Neil Magny  Phil Rowe,0  0,29  34,0  1,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
199,win,Randy Brown  Wellington Turman,0  0,64  55,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
200,win,Mateusz Rebecki  Loik Radzhabov,2  0,54  19,1  0,1  0,Lightweight,KO/TKO  Punch,2,2:36,UFC Fight Night: Emmett vs. Topuria
201,win,Tabatha Ricci  Gillian Robertson,0  0,100  76,3  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
202,win,Joshua Van  Zhalgas Zhumagulov,0  0,120  103,0  1,0  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
203,win,Chepe Mariscal  Trevor Peek,0  0,71  51,4  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
204,win,Jack Jenkins  Jamall Emmers,0  0,59  57,1  1,0  0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
205,win,Sedriques Dumas  Cody Brundage,0  0,17  3,0  2,0  1,Middleweight,U-DEC,3,5:00,UFC Fight Night: Emmett vs. Topuria
206,win,Jared Cannonier  Marvin Vettori,0  0,241  153,4  1,0  0,Middleweight,U-DEC,5,5:00,UFC Fight Night: Vettori vs. Cannonier
207,win,Arman Tsarukyan  Joaquim Silva,0  0,80  23,4  0,0  0,Lightweight,KO/TKO  Punches,3,3:25,UFC Fight Night: Vettori vs. Cannonier
208,win,Armen Petrosyan  Christian Leroy Duncan,0  0,89  59,1  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Vettori vs. Cannonier
209,win,Pat Sabatini  Lucas Almeida,0  0,27  2,2  0,1  0,Featherweight,SUB  Arm Triangle,2,1:48,UFC Fight Night: Vettori vs. Cannonier
210,win,Manuel Torres  Nikolas Motta,1  0,13  7,0  0,0  0,Lightweight,KO/TKO  Elbow,1,1:50,UFC Fight Night: Vettori vs. Cannonier
211,win,Nicolas Dalby  Muslim Salikhov,0  0,86  57,2  2,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Vettori vs. Cannonier
212,win,Alessandro Costa  Jimmy Flick,1  0,65  14,0  0,0  0,Flyweight,KO/TKO  Elbows,2,1:03,UFC Fight Night: Vettori vs. Cannonier
213,win,Kyung Ho Kang  Cristian Quinonez,1  0,22  13,1  0,1  0,Bantamweight,SUB  Rear Naked Choke,1,2:25,UFC Fight Night: Vettori vs. Cannonier
214,win,Carlos Hernandez  Denys Bondar,0  0,102  76,2  2,0  0,Flyweight,U-DEC,3,4:59,UFC Fight Night: Vettori vs. Cannonier
215,win,Tereza Bleda  Gabriella Fernandes,0  0,57  23,3  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Vettori vs. Cannonier
216,nc nc,Dan Argueta  Ronnie Lawrence,0  0,4  1,1  0,2  0,Bantamweight,Overturned,1,2:20,UFC Fight Night: Vettori vs. Cannonier
217,win,Modestas Bukauskas  Zac Pauga,0  0,56  67,0  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Vettori vs. Cannonier
218,win,Amanda Nunes  Irene Aldana,0  0,142  41,6  0,0  0,Women's Bantamweight,U-DEC,5,5:00,UFC 289: Nunes vs. Aldana
219,win,Charles Oliveira  Beneil Dariush,1  0,26  12,0  0,0  0,Lightweight,KO/TKO  Punches,1,4:10,UFC 289: Nunes vs. Aldana
220,win,Mike Malott  Adam Fugitt,1  0,19  9,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,1:06,UFC 289: Nunes vs. Aldana
221,win,Dan Ige  Nate Landwehr,1  0,88  74,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC 289: Nunes vs. Aldana
222,win,Marc-Andre Barriault  Eryk Anders,1  0,95  83,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC 289: Nunes vs. Aldana
223,nc nc,Nassourdine Imavov  Chris Curtis,0  0,57  26,3  0,1  0,Middleweight,CNC,2,3:04,UFC 289: Nunes vs. Aldana
224,win,Jasmine Jasudavicius  Miranda Maverick,0  0,67  63,1  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 289: Nunes vs. Aldana
225,win,Aiemann Zahabi  Aoriqileng,1  0,5  5,0  0,0  0,Bantamweight,KO/TKO  Punch,1,1:04,UFC 289: Nunes vs. Aldana
226,win,Kyle Nelson  Blake Bilder,0  0,59  45,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC 289: Nunes vs. Aldana
227,win,Steve Erceg  David Dvorak,0  0,54  53,3  1,1  0,Flyweight,U-DEC,3,5:00,UFC 289: Nunes vs. Aldana
228,win,Diana Belbita  Maria Oliveira,0  0,106  64,1  2,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 289: Nunes vs. Aldana
229,win,Amir Albazi  Kai Kara-France,0  0,43  99,1  2,1  0,Flyweight,S-DEC,5,5:00,UFC Fight Night: Kara-France vs. Albazi
230,win,Alex Caceres  Daniel Pineda,0  0,60  27,1  3,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
231,win,Jim Miller  Jesse Butler,1  0,3  1,0  0,0  0,Lightweight,KO/TKO  Punch,1,0:23,UFC Fight Night: Kara-France vs. Albazi
232,win,Tim Elliott  Victor Altamirano,0  0,28  19,6  1,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
233,win,Karine Silva  Ketlen Souza,0  0,3  0,1  0,1  0,Women's Flyweight,SUB  Other - Lock,1,1:45,UFC Fight Night: Kara-France vs. Albazi
234,win,Elizeu Zaleski dos Santos  Abubakar Nurmagomedov,0  0,42  29,0  1,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
235,win,Daniel Santos  Johnny Munoz,0  0,50  18,3  1,0  1,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
236,win,Don'Tale Mayes  Andrei Arlovski,1  0,25  24,0  0,0  0,Heavyweight,KO/TKO  Punch,2,3:17,UFC Fight Night: Kara-France vs. Albazi
237,win,John Castaneda  Muin Gafurov,1  0,40  61,3  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
238,win,Muhammad Naimov  Jamie Mullarkey,1  0,28  39,0  3,0  0,Lightweight,KO/TKO  Punch,2,2:59,UFC Fight Night: Kara-France vs. Albazi
239,win,Elise Reed  Jinh Yu Frey,0  0,53  28,0  3,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
240,win,Da'Mon Blackshear  Luan Lacerda,0  0,66  28,1  1,0  1,Bantamweight,KO/TKO  Punches,2,3:54,UFC Fight Night: Kara-France vs. Albazi
241,win,Philipe Lins  Maxim Grishin,0  0,45  41,1  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Kara-France vs. Albazi
242,win,Mackenzie Dern  Angela Hill,1  0,126  66,3  0,0  0,Women's Strawweight,U-DEC,5,5:00,UFC Fight Night: Dern vs. Hill
243,win,Anthony Hernandez  Edmen Shahbazyan,0  0,63  30,6  1,4  1,Middleweight,KO/TKO  Elbows,3,1:01,UFC Fight Night: Dern vs. Hill
244,win,Loopy Godinez  Emily Ducote,0  0,132  112,1  0,0  0,Catch Weight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Hill
245,win,Joaquin Buckley  Andre Fialho,1  0,26  22,2  0,0  0,Welterweight,KO/TKO  Kick,2,4:15,UFC Fight Night: Dern vs. Hill
246,win,Diego Ferreira  Michael Johnson,1  0,30  32,0  0,0  0,Lightweight,KO/TKO  Punch,2,1:50,UFC Fight Night: Dern vs. Hill
247,win,Viacheslav Borshchev  Maheshate,3  0,85  32,0  0,0  0,Lightweight,KO/TKO  Punch,2,2:37,UFC Fight Night: Dern vs. Hill
248,win,Karolina Kowalkiewicz  Vanessa Demopoulos,0  0,139  68,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Hill
249,win,Gilbert Urbina  Orion Cosce,1  0,51  16,2  0,1  0,Welterweight,KO/TKO  Kick,2,2:55,UFC Fight Night: Dern vs. Hill
250,win,Rodrigo Nascimento  Ilir Latifi,0  0,68  49,0  2,0  0,Heavyweight,S-DEC,3,5:00,UFC Fight Night: Dern vs. Hill
251,win,Chase Hooper  Nick Fiore,0  0,149  51,1  4,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Hill
252,win,Natalia Silva  Victoria Leonardo,1  0,20  7,0  0,0  0,Women's Flyweight,KO/TKO  Punch,1,2:58,UFC Fight Night: Dern vs. Hill
253,win,Themba Gorimbo  Takashi Sato,1  0,33  30,3  2,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Hill
254,win,Jailton Almeida  Jairzinho Rozenstruik,0  0,4  0,1  0,1  0,Heavyweight,SUB  Rear Naked Choke,1,3:43,UFC Fight Night: Rozenstruik vs. Almeida
255,win,Johnny Walker  Anthony Smith,0  0,92  38,1  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Almeida
256,win,Ian Garry  Daniel Rodriguez,1  0,23  7,0  0,0  0,Welterweight,KO/TKO  Kick,1,2:57,UFC Fight Night: Rozenstruik vs. Almeida
257,win,Carlos Ulberg  Ihor Potieria,1  0,13  5,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,2:09,UFC Fight Night: Rozenstruik vs. Almeida
258,win,Alex Morono  Tim Means,0  0,33  40,0  2,1  0,Welterweight,SUB  Guillotine Choke,2,2:09,UFC Fight Night: Rozenstruik vs. Almeida
259,win,Matt Brown  Court McGee,1  0,11  8,0  1,0  0,Welterweight,KO/TKO  Punch,1,4:09,UFC Fight Night: Rozenstruik vs. Almeida
260,win,Karl Williams  Chase Sherman,0  0,70  54,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Almeida
261,win,Douglas Silva de Andrade  Cody Stamann,0  1,61  54,0  1,0  0,Catch Weight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Almeida
262,win,Mandy Bohm  Ji Yeon Kim,0  0,17  10,2  0,1  1,Women's Flyweight,S-DEC,3,1:55,UFC Fight Night: Rozenstruik vs. Almeida
263,win,Bryan Battle  Gabe Green,1  0,3  6,0  0,0  0,Welterweight,KO/TKO  Punch,1,0:14,UFC Fight Night: Rozenstruik vs. Almeida
264,win,Tainara Lisboa  Jessica-Rose Clark,0  0,42  26,1  1,1  0,Women's Bantamweight,SUB  Rear Naked Choke,3,4:20,UFC Fight Night: Rozenstruik vs. Almeida
265,win,Aljamain Sterling  Henry Cejudo,0  0,135  99,4  3,0  0,Bantamweight,S-DEC,5,5:00,UFC 288: Sterling vs. Cejudo
266,win,Belal Muhammad  Gilbert Burns,0  0,132  81,0  0,0  0,Welterweight,U-DEC,5,5:00,UFC 288: Sterling vs. Cejudo
267,win,Yan Xiaonan  Jessica Andrade,1  0,26  12,0  0,0  0,Women's Strawweight,KO/TKO  Punch,1,2:20,UFC 288: Sterling vs. Cejudo
268,win,Movsar Evloev  Diego Lopes,0  0,88  37,4  0,0  4,Featherweight,U-DEC,3,5:00,UFC 288: Sterling vs. Cejudo
269,win,Charles Jourdain  Kron Gracie,0  0,80  32,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC 288: Sterling vs. Cejudo
270,win,Matt Frevola  Drew Dober,1  0,35  20,0  0,0  0,Lightweight,KO/TKO  Punch,1,4:08,UFC 288: Sterling vs. Cejudo
271,win,Kennedy Nzechukwu  Devin Clark,0  0,62  36,0  1,1  0,Light Heavyweight,SUB  Guillotine Choke,2,2:28,UFC 288: Sterling vs. Cejudo
272,win,Khaos Williams  Rolando Bedoya,0  0,130  149,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC 288: Sterling vs. Cejudo
273,win,Virna Jandiroba  Marina Rodriguez,0  0,27  33,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 288: Sterling vs. Cejudo
274,win,Parker Porter  Braxton Smith,0  0,25  14,0  0,0  0,Heavyweight,KO/TKO  Punches,1,2:10,UFC 288: Sterling vs. Cejudo
275,win,Ikram Aliskerov  Phil Hawes,1  0,20  17,0  0,0  0,Middleweight,KO/TKO  Punches,1,2:10,UFC 288: Sterling vs. Cejudo
276,win,Claudio Ribeiro  Joseph Holmes,1  0,37  17,1  1,0  0,Middleweight,KO/TKO  Punches,2,3:21,UFC 288: Sterling vs. Cejudo
277,win,Song Yadong  Ricky Simon,2  0,105  60,0  2,0  0,Bantamweight,KO/TKO  Punch,5,1:10,UFC Fight Night: Song vs. Simon
278,win,Caio Borralho  Michal Oleksiejczuk,0  0,34  30,3  0,1  0,Middleweight,SUB  Rear Naked Choke,2,2:49,UFC Fight Night: Song vs. Simon
279,win,Rodolfo Vieira  Cody Brundage,0  1,10  20,1  0,2  1,Middleweight,SUB  Arm Triangle,2,1:28,UFC Fight Night: Song vs. Simon
280,win,Fernando Padilla  Julian Erosa,1  0,20  15,0  0,0  0,Featherweight,KO/TKO  Punches,1,1:41,UFC Fight Night: Song vs. Simon
281,win,Marcos Rogerio de Lima  Waldo Cortes-Acosta,0  0,59  82,3  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Song vs. Simon
282,win,Trey Waters  Josh Quinlan,0  0,104  50,1  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Song vs. Simon
283,win,Martin Buday  Jake Collier,0  0,98  94,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Song vs. Simon
284,win,Cody Durden  Charles Johnson,0  0,56  52,11  0,0  1,Flyweight,U-DEC,3,5:00,UFC Fight Night: Song vs. Simon
285,win,Irina Alekseeva  Stephanie Egger,0  0,18  9,0  0,1  0,Women's Bantamweight,SUB  Kneebar,1,2:11,UFC Fight Night: Song vs. Simon
286,win,Marcus McGhee  Journey Newson,1  0,25  13,0  0,1  0,Catch Weight,SUB  Rear Naked Choke,2,2:03,UFC Fight Night: Song vs. Simon
287,win,Jamey-Lyn Horth  Hailey Cowan,0  0,76  63,0  2,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Song vs. Simon
288,win,Sergei Pavlovich  Curtis Blaydes,1  0,36  14,0  0,0  0,Heavyweight,KO/TKO  Punches,1,3:08,UFC Fight Night: Pavlovich vs. Blaydes
289,win,Bruno Silva  Brad Tavares,1  0,23  15,0  0,0  0,Middleweight,KO/TKO  Punch,1,3:35,UFC Fight Night: Pavlovich vs. Blaydes
290,nc nc,Bobby Green  Jared Gordon,0  0,23  17,0  0,0  0,Lightweight,CNC,1,4:35,UFC Fight Night: Pavlovich vs. Blaydes
291,win,Iasmin Lucindo  Brogan Walker,0  0,53  29,4  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Pavlovich vs. Blaydes
292,win,Jeremiah Wells  Matthew Semelsberger,0  2,36  20,6  0,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Pavlovich vs. Blaydes
293,win,Christos Giagos  Ricky Glenn,1  0,9  2,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:35,UFC Fight Night: Pavlovich vs. Blaydes
294,win,Montel Jackson  Rani Yahya,1  0,9  7,0  0,0  0,Bantamweight,KO/TKO  Punch,1,3:42,UFC Fight Night: Pavlovich vs. Blaydes
295,win,Norma Dumont  Karol Rosa,0  1,35  33,1  0,0  0,Women's Featherweight,U-DEC,3,5:00,UFC Fight Night: Pavlovich vs. Blaydes
296,win,Mohammed Usman  Junior Tafa,0  0,7  22,2  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Pavlovich vs. Blaydes
297,win,William Gomis  Francis Marshall,0  0,27  15,0  2,0  2,Featherweight,S-DEC,3,5:00,UFC Fight Night: Pavlovich vs. Blaydes
298,win,Brady Hiestand  Batgerel Danaa,0  1,45  41,3  1,0  0,Bantamweight,KO/TKO  Punches,3,4:21,UFC Fight Night: Pavlovich vs. Blaydes
299,win,Max Holloway  Arnold Allen,0  0,147  76,0  0,0  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Holloway vs. Allen
300,win,Edson Barboza  Billy Quarantillo,1  0,21  19,0  0,0  0,Featherweight,KO/TKO  Knee,1,2:37,UFC Fight Night: Holloway vs. Allen
301,win,Azamat Murzakanov  Dustin Jacoby,1  0,67  64,1  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Allen
302,win,Ion Cutelaba  Tanner Boser,0  0,30  5,1  0,0  0,Light Heavyweight,KO/TKO  Punches,1,2:05,UFC Fight Night: Holloway vs. Allen
303,win,Pedro Munhoz  Chris Gutierrez,1  0,60  77,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Allen
304,win,Rafa Garcia  Clay Guida,0  0,141  63,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Allen
305,win,Bill Algeo  TJ Brown,1  0,64  46,1  1,1  0,Featherweight,SUB  Rear Naked Choke,2,1:40,UFC Fight Night: Holloway vs. Allen
306,win,Brandon Royval  Matheus Nicolau,1  0,13  2,0  0,0  0,Flyweight,KO/TKO  Knee,1,2:09,UFC Fight Night: Holloway vs. Allen
307,win,Zak Cummings  Ed Herman,3  0,100  54,0  0,0  0,Light Heavyweight,KO/TKO  Punches,3,4:13,UFC Fight Night: Holloway vs. Allen
308,win,Gillian Robertson  Piera Rodriguez,0  0,26  12,2  1,1  0,Women's Strawweight,SUB  Armbar,2,4:21,UFC Fight Night: Holloway vs. Allen
309,win,Daniel Zellhuber  Lando Vannata,1  0,78  51,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Allen
310,win,Denise Gomes  Bruna Brasil,1  0,54  15,3  0,0  0,Women's Strawweight,KO/TKO  Punches,2,2:42,UFC Fight Night: Holloway vs. Allen
311,win,Gaston Bolanos  Aaron Phillips,0  0,63  17,0  3,0  1,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Allen
312,win,Joselyne Edwards  Lucie Pudilova,0  0,56  39,0  2,0  0,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night: Holloway vs. Allen
313,win,Israel Adesanya  Alex Pereira,1  0,41  49,0  0,0  0,Middleweight,KO/TKO  Punch,2,4:21,UFC 287: Pereira vs. Adesanya 2
314,win,Gilbert Burns  Jorge Masvidal,0  0,42  39,4  0,0  0,Welterweight,U-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
315,win,Rob Font  Adrian Yanez,1  0,33  25,0  0,0  0,Bantamweight,KO/TKO  Punch,1,2:57,UFC 287: Pereira vs. Adesanya 2
316,win,Kevin Holland  Santiago Ponzinibbio,1  0,66  44,0  0,0  0,Welterweight,KO/TKO  Punch,3,3:16,UFC 287: Pereira vs. Adesanya 2
317,win,Christian Rodriguez  Raul Rosas Jr.,0  0,29  2,1  3,0  1,Bantamweight,U-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
318,win,Kelvin Gastelum  Chris Curtis,0  0,83  70,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
319,win,Luana Pinheiro  Michelle Waterson-Gomez,0  0,44  61,0  1,0  0,Women's Strawweight,S-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
320,win,Joe Pyfer  Gerald Meerschaert,0  0,14  10,0  0,0  0,Middleweight,KO/TKO  Punches,1,3:15,UFC 287: Pereira vs. Adesanya 2
321,win,Loopy Godinez  Cynthia Calvillo,0  0,87  104,0  1,0  0,Women's Strawweight,S-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
322,win,Ignacio Bahamondes  Trey Ogden,0  0,99  42,0  0,0  0,Catch Weight,U-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
323,win,Steve Garcia  Shayilan Nuerdanbieke,1  1,17  18,0  1,0  0,Featherweight,KO/TKO  Punch,2,0:36,UFC 287: Pereira vs. Adesanya 2
324,win,Sam Hughes  Jaqueline Amorim,0  0,46  12,1  2,0  3,Women's Strawweight,U-DEC,3,5:00,UFC 287: Pereira vs. Adesanya 2
325,win,Cory Sandhagen  Marlon Vera,0  0,128  58,3  0,0  1,Bantamweight,S-DEC,5,5:00,UFC Fight Night: Vera vs. Sandhagen
326,win,Holly Holm  Yana Santos,0  0,32  21,4  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Vera vs. Sandhagen
327,win,Nate Landwehr  Austin Lingo,0  0,64  48,1  0,1  0,Featherweight,SUB  Rear Naked Choke,2,4:11,UFC Fight Night: Vera vs. Sandhagen
328,win,Maycee Barber  Andrea Lee,0  0,48  39,2  5,0  0,Women's Flyweight,S-DEC,3,5:00,UFC Fight Night: Vera vs. Sandhagen
329,win,Albert Duraev  Chidi Njokuani,0  0,45  40,2  0,0  0,Middleweight,S-DEC,3,5:00,UFC Fight Night: Vera vs. Sandhagen
330,win,Daniel Pineda  Tucker Lutz,1  0,24  28,1  0,2  0,Featherweight,SUB  Guillotine Choke,2,2:50,UFC Fight Night: Vera vs. Sandhagen
331,win,Lucas Alexander  Steven Peterson,1  0,85  26,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Vera vs. Sandhagen
332,win,Trevin Giles  Preston Parsons,0  0,55  42,0  3,0  3,Welterweight,S-DEC,3,5:00,UFC Fight Night: Vera vs. Sandhagen
333,win,CJ Vergara  Daniel Lacerda,0  2,83  48,0  1,1  2,Flyweight,KO/TKO  Elbows,2,4:04,UFC Fight Night: Vera vs. Sandhagen
334,win,Victor Altamirano  Vinicius Salvador,0  0,62  47,3  1,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Vera vs. Sandhagen
335,win,Leon Edwards  Kamaru Usman,0  0,120  87,0  4,0  0,Welterweight,M-DEC,5,5:00,UFC 286: Edwards vs. Usman 3
336,win,Justin Gaethje  Rafael Fiziev,0  0,103  97,1  0,0  0,Lightweight,M-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
337,win,Gunnar Nelson  Bryan Barberena,0  0,10  7,1  0,1  0,Welterweight,SUB  Armbar,1,4:51,UFC 286: Edwards vs. Usman 3
338,win,Jennifer Maia  Casey O'Neill,0  0,145  137,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
339,win,Marvin Vettori  Roman Dolidze,0  0,106  71,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
340,win,Jack Shore  Makwan Amirkhani,0  0,28  10,1  1,1  0,Featherweight,SUB  Rear Naked Choke,2,4:27,UFC 286: Edwards vs. Usman 3
341,win,Chris Duncan  Omar Morales,0  0,53  47,5  0,0  0,Lightweight,S-DEC,3,5:00,UFC 286: Edwards vs. Usman 3
342,win,Yanal Ashmouz  Sam Patterson,0  0,15  2,1  0,0  0,Lightweight,KO/TKO  Punches,1,1:15,UFC 286: Edwards vs. Usman 3
